DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA,AREA NAME,Rpt Dist No,Part 1-2,Crm Cd,Crm Cd Desc,Mocodes,Vict Age,Vict Sex,Vict Descent,Premis Cd,Premis Desc,Weapon Used Cd,Weapon Desc,Status,Status Desc,Crm Cd 1,Crm Cd 2,Crm Cd 3,Crm Cd 4,LOCATION,Cross Street,LAT,LON
210510889,06/30/2021 12:00:00 AM,06/29/2021 12:00:00 AM,1630,05,Harbor,0528,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,900 E  DENNI                        ST,,33.7852,-118.252
202009677,05/13/2020 12:00:00 AM,05/13/2020 12:00:00 AM,0900,20,Olympic,2042,1,520,VEHICLE - ATTEMPT STOLEN,1822 1607 0358,36,M,H,101,STREET,,,IC,Invest Cont,520,,,,900 S  WILTON                       PL,,34.0559,-118.3142
210413995,10/17/2021 12:00:00 AM,10/17/2021 12:00:00 AM,1030,04,Hollenbeck,0411,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0411 1822 1218,43,M,H,109,PARK/PLAYGROUND,201,KNIFE WITH BLADE OVER 6 INCHES IN LENGTH,IC,Invest Cont,230,,,,AVENUE 19,HUMBOLDT                     ST,34.0761,-118.2238
211706866,03/25/2021 12:00:00 AM,03/25/2021 12:00:00 AM,1935,17,Devonshire,1791,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,20700    CHASE                        ST,,34.2246,-118.5864
211911076,07/19/2021 12:00:00 AM,07/19/2021 12:00:00 AM,0730,19,Mission,1983,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",2034 0430 1100 1822 2033,25,M,H,505,MOTEL,107,OTHER FIREARM,IC,Invest Cont,230,,,,8400 N  SEPULVEDA                    BL,,34.2233,-118.4677
212016057,10/23/2021 12:00:00 AM,10/21/2021 12:00:00 AM,1300,20,Olympic,2024,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,500 S  HARVARD                      BL,,34.0642,-118.3041
210911134,07/01/2021 12:00:00 AM,07/01/2021 12:00:00 AM,1200,09,Van Nuys,0963,2,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,0421,21,M,O,501,SINGLE FAMILY DWELLING,511,VERBAL THREAT,AO,Adult Other,930,,,,14700    VALLEYHEART                  DR,,34.1584,-118.4531
210713282,09/20/2021 12:00:00 AM,09/02/2021 12:00:00 AM,1430,07,Wilshire,0738,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0344,60,M,O,720,JUNIOR HIGH SCHOOL,,,IC,Invest Cont,341,,,,600 S  MCCADDEN                     PL,,34.0621,-118.3371
211423148,12/18/2021 12:00:00 AM,12/17/2021 12:00:00 AM,0725,14,Pacific,1472,1,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),0344 1300,35,F,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,331,,,,6400    PACIFIC                      AV,,33.9591,-118.4511
211406869,02/19/2021 12:00:00 AM,02/05/2021 12:00:00 AM,1255,14,Pacific,1483,1,330,BURGLARY FROM VEHICLE,1300 0344,29,F,W,101,STREET,,,IC,Invest Cont,330,,,,MANCHESTER                   AV,STANMOOR                     DR,33.9597,-118.425
221104638,01/18/2022 12:00:00 AM,12/01/2021 12:00:00 AM,1955,11,Northeast,1107,2,354,THEFT OF IDENTITY,0100 0928,47,F,W,750,CYBERSPACE,,,IC,Invest Cont,354,,,,1300    HEPNER                       AV,,34.1323,-118.1933
201915689,10/15/2020 12:00:00 AM,10/15/2020 12:00:00 AM,0305,19,Mission,1918,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329,35,F,H,108,PARKING LOT,,,IC,Invest Cont,740,,,,13600    FOOTHILL                     BL,,34.3069,-118.4297
210320059,12/10/2021 12:00:00 AM,12/10/2021 12:00:00 AM,1845,03,Southwest,0398,1,210,ROBBERY,0400 1276 0417 0344 0913 2000 1814,23,F,H,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,210,,,,700 W  43RD                         PL,,34.0046,-118.2836
201918078,12/15/2020 12:00:00 AM,12/15/2020 12:00:00 AM,1111,19,Mission,1983,1,210,ROBBERY,0344 0334 0312 1822 1402,19,M,H,108,PARKING LOT,114,AIR PISTOL/REVOLVER/RIFLE/BB GUN,IC,Invest Cont,210,,,,8300 N  SEPULVEDA                    BL,,34.2214,-118.4677
202013248,08/09/2020 12:00:00 AM,08/09/2020 12:00:00 AM,2250,20,Olympic,2069,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,0329 0416 0913 1814 2000 2002,43,M,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,626,,,,1200 S  WESTMORELAND                 AV,,34.0495,-118.2891
210900740,08/03/2021 12:00:00 AM,08/03/2021 12:00:00 AM,1400,09,Van Nuys,0935,2,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,0421 1212,0,X,X,203,OTHER BUSINESS,511,VERBAL THREAT,AA,Adult Arrest,930,,,,6200    SYLMAR,,34.1837,-118.4465
202011749,07/04/2020 12:00:00 AM,06/26/2020 12:00:00 AM,0700,20,Olympic,2021,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",1822 0329,48,M,O,122,"VEHICLE, PASSENGER/TRUCK",,,IC,Invest Cont,740,,,,4100 W  6TH                          ST,,34.0633,-118.3141
201811813,05/28/2020 12:00:00 AM,05/25/2020 12:00:00 AM,0200,18,Southeast,1851,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,MENLO                        AV,130TH                        ST,33.9144,-118.2894
201809657,04/15/2020 12:00:00 AM,04/15/2020 12:00:00 AM,1550,18,Southeast,1871,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 0913 0416 1814 1243,49,F,B,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,626,,,,800 W  ROSECRANS                    AV,,33.9019,-118.2893
211107532,04/12/2021 12:00:00 AM,04/12/2021 12:00:00 AM,2210,11,Northeast,1129,2,901,VIOLATION OF RESTRAINING ORDER,2038 0913 1814,20,F,H,501,SINGLE FAMILY DWELLING,,,AO,Adult Other,901,,,,400    CHESTNUT                     AV,,34.1149,-118.1749
210209186,05/07/2021 12:00:00 AM,05/07/2021 12:00:00 AM,1220,02,Rampart,0236,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329 1822 0202,0,X,X,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,740,,,,2000 W  3RD                          ST,,34.0657,-118.268
201409975,04/22/2020 12:00:00 AM,04/21/2020 12:00:00 AM,1930,14,Pacific,1446,1,330,BURGLARY FROM VEHICLE,0344 1300,43,M,H,101,STREET,,,IC,Invest Cont,330,,,,VENICE                       BL,INGLEWOOD                    BL,34.0056,-118.4301
201819653,10/28/2020 12:00:00 AM,10/28/2020 12:00:00 AM,1000,18,Southeast,1831,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",1822 0329 1307 1100 1407,22,F,B,122,"VEHICLE, PASSENGER/TRUCK",,,IC,Invest Cont,740,998,,,600 W  ATHENS                       BL,,33.9213,-118.2847
211216482,07/25/2021 12:00:00 AM,07/25/2021 12:00:00 AM,2030,12,77th Street,1248,2,946,OTHER MISCELLANEOUS CRIME,1822 2041 1814,33,F,H,501,SINGLE FAMILY DWELLING,,,AO,Adult Other,946,,,,6400 S  HOOVER                       ST,,33.9792,-118.2893
201911106,06/18/2020 12:00:00 AM,04/26/2020 12:00:00 AM,1908,19,Mission,1995,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0450 1822 0395 0906,19,M,H,101,STREET,102,HAND GUN,IC,Invest Cont,230,,,,14600    BLYTHE                       ST,,34.2152,-118.451
211511454,07/04/2021 12:00:00 AM,07/03/2021 12:00:00 AM,1200,15,N Hollywood,1585,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329,61,M,O,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,740,,,,4100    KLUMP                        AV,,34.1432,-118.3757
212116235,11/04/2021 12:00:00 AM,11/03/2021 12:00:00 AM,1800,21,Topanga,2128,2,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,0421 0906,51,F,H,121,YARD (RESIDENTIAL/BUSINESS),511,VERBAL THREAT,AO,Adult Other,930,,,,20200    STRATHERN                    ST,,34.2156,-118.573
201819475,10/24/2020 12:00:00 AM,10/24/2020 12:00:00 AM,2250,18,Southeast,1871,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0302 0913 0603 0361,39,M,H,101,STREET,106,UNKNOWN FIREARM,AO,Adult Other,230,,,,800 W  148TH                        ST,,33.8983,-118.2896
210306347,02/19/2021 12:00:00 AM,02/16/2021 12:00:00 AM,1043,03,Southwest,0334,2,956,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",0913 1202 2021 1906 0559,63,F,B,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,956,,,,3000 S  BRONSON                      AV,,34.0261,-118.3338
211208794,03/18/2021 12:00:00 AM,03/17/2021 12:00:00 AM,1800,12,77th Street,1215,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,5400 S  NORMANDIE                    AV,,33.9923,-118.3002
202106474,02/24/2020 12:00:00 AM,02/24/2020 12:00:00 AM,1835,21,Topanga,2187,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0416 1822,58,M,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,230,,,,21700    VENTURA                      BL,,34.1683,-118.6007
202115676,11/05/2020 12:00:00 AM,11/03/2020 12:00:00 AM,0330,21,Topanga,2158,1,310,BURGLARY,0344 1606 0209,46,M,X,203,OTHER BUSINESS,,,IC,Invest Cont,310,,,,6300    CANOGA                       AV,,34.1849,-118.5974
201416348,08/30/2020 12:00:00 AM,08/28/2020 12:00:00 AM,1200,14,Pacific,1453,1,510,VEHICLE - STOLEN,,0,,,108,PARKING LOT,,,IC,Invest Cont,510,,,,4000    GLENCOE                      AV,,33.9918,-118.4446
210913433,08/29/2021 12:00:00 AM,08/28/2021 12:00:00 AM,0545,09,Van Nuys,0926,1,210,ROBBERY,0416 1822 0344 0417 0346,53,M,H,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,210,,,,VAN NUYS                     BL,KITTRIDGE                    ST,34.1907,-118.4487
201420586,11/20/2020 12:00:00 AM,11/18/2020 12:00:00 AM,0630,14,Pacific,1403,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),1606 0344 1300,33,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,420,,,,11200    SARDIS                       AV,,34.0296,-118.4306
210300673,04/01/2021 12:00:00 AM,04/01/2021 12:00:00 AM,1340,03,Southwest,0356,1,210,ROBBERY,1822 0325 0104 0334 0945 1402,20,X,X,402,MARKET,203,DIRK/DAGGER,AA,Adult Arrest,210,,,,1700 W  JEFFERSON                    BL,,34.0255,-118.3061
201504263,01/05/2020 12:00:00 AM,01/05/2020 12:00:00 AM,1300,15,N Hollywood,1527,1,330,BURGLARY FROM VEHICLE,0344 0321,23,M,H,108,PARKING LOT,,,IC,Invest Cont,330,,,,11000    VICTORY                      BL,,34.1867,-118.3703
211405440,01/25/2021 12:00:00 AM,01/14/2021 12:00:00 AM,1200,14,Pacific,1477,1,310,BURGLARY,0344 1601,57,M,W,710,OTHER PREMISE,,,IC,Invest Cont,310,,,,7800    BOEING                       AV,,33.9683,-118.3888
210211200,06/25/2021 12:00:00 AM,06/25/2021 12:00:00 AM,0900,02,Rampart,0212,1,330,BURGLARY FROM VEHICLE,1300 1822 0344 1307 1609,24,F,H,702,OFFICE BUILDING/OFFICE,,,IC,Invest Cont,330,,,,300 N  MADISON                      AV,,34.0763,-118.2892
